Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition,AdjOffSQ,AdjDefSQ,Rim3Rate,KillShotsScored,KillShotsConceded,BPR,PaceVar,RecentForm
Baylor,0.0,106.4,0.0,0.0,0.0,66.6,0.494,0.0,14.9,0.0,52.5,35.7,0.369,0.308,9.13,0,0,0,0,0,0,0.0,0.0,107.40307212213831,95.17006831063442,0.31508400896844735,9.6,5.1,1.3583850334882115,1.5423729588872406,-0.1409077534363694
Belmont,0.0,109.4,0.0,0.0,0.0,72.8,0.553,0.0,14.6,0.0,50.5,24.9,0.438,0.227,-6.23,0,0,0,0,0,0,0.0,0.0,113.6708544750365,101.14878962288529,0.5918842273282227,6.5,4.3,8.097603583120284,3.3384413581889123,2.163012783416712
Bethune-Cookman,0.0,98.3,0.0,0.0,0.0,75.0,0.474,0.0,17.6,0.0,50.5,30.6,0.313,0.381,-8.98,0,0,0,0,0,0,0.0,0.0,100.20160577277674,98.70411956919895,0.5574423693014215,5.1,6.0,0.12208633751585363,3.9361561052259755,-2.665875914733984
Binghamton,0.0,99.6,0.0,0.0,0.0,69.4,0.489,0.0,15.5,0.0,47.1,25.6,0.479,0.238,-4.62,0,0,0,0,0,0,0.0,0.0,101.32942759082398,104.74792872561957,0.31883228851879,7.2,6.3,-1.8992475407783236,3.6278231186245327,1.3974290920505492
Boise State,0.0,106.5,0.0,0.0,0.0,70.0,0.52,0.0,15.5,0.0,51.5,25.9,0.421,0.362,4.39,0,0,0,0,0,0,0.0,0.0,109.26025572780179,99.16161075573909,0.4800376594809252,7.1,6.4,4.869473729081303,4.427898218460121,-1.1699881595252177
Boston College,0.0,92.4,0.0,0.0,0.0,69.6,0.465,0.0,17.3,0.0,46.4,25.4,0.405,0.291,7.86,0,0,0,0,0,0,0.0,0.0,89.9887410008524,99.04066334987893,0.4765681953221317,11.0,9.6,-5.701623838491192,3.911360215656841,1.557057916367734
Boston University,0.0,105.0,0.0,0.0,0.0,66.8,0.516,0.0,14.6,0.0,52.1,28.9,0.344,0.27,-5.3,0,0,0,0,0,0,0.0,0.0,100.75649751859994,97.56792093555825,0.5443446881014118,7.9,4.0,3.0826378728614148,3.6305773465212563,2.586518326359011
Bowling Green,0.0,103.2,0.0,0.0,0.0,71.6,0.479,0.0,13.3,0.0,51.1,28.7,0.364,0.287,0.2,0,0,0,0,0,0,0.0,0.0,106.60778010054436,97.89656923347671,0.3038089117871922,11.6,8.4,-0.5436044307828909,3.6463924394424185,1.3811764354575198
Bradley,0.0,105.7,0.0,0.0,0.0,67.3,0.499,0.0,14.9,0.0,53.5,31.5,0.313,0.319,0.33,0,0,0,0,0,0,0.0,0.0,102.26485958067273,102.13502739852622,0.34453628319629326,5.9,4.4,2.506782226786993,2.761888438156371,-0.9268736400403241
Brigham Young,0.0,112.8,0.0,0.0,0.0,69.7,0.588,0.0,14.3,0.0,49.6,20.5,0.414,0.239,6.45,0,0,0,0,0,0,0.0,0.0,107.31666285247256,103.03341949936147,0.4824258029098533,13.0,4.7,4.943361236212671,2.6701750142440446,-2.3616704743167602
Brown,0.0,95.4,0.0,0.0,0.0,70.2,0.455,0.0,18.2,0.0,52.1,32.3,0.381,0.325,-1.72,0,0,0,0,0,0,0.0,0.0,91.36142638825774,95.7610718216634,0.421969688926414,8.9,5.2,-3.6577090903029186,3.9893058523949536,-2.875392541078685
Bryant,0.0,100.0,0.0,0.0,0.0,70.7,0.485,0.0,17.2,0.0,52.0,31.6,0.433,0.304,-6.67,0,0,0,0,0,0,0.0,0.0,99.6965248696107,96.07048794438202,0.5068386632003251,6.1,6.3,-1.4763552287717594,2.262522239215795,1.7825665059673907
Bucknell,0.0,96.7,0.0,0.0,0.0,69.9,0.493,0.0,17.0,0.0,47.9,24.0,0.418,0.284,-4.32,0,0,0,0,0,0,0.0,0.0,99.74289741935523,104.82959280763036,0.40185086135366055,10.0,7.5,-1.7255682529075171,2.1975337522233875,2.203916357446606
Buffalo,0.0,104.5,0.0,0.0,0.0,74.7,0.494,0.0,15.3,0.0,52.5,35.0,0.378,0.28,0.06,0,0,0,0,0,0,0.0,0.0,106.01721034414139,104.8501184406831,0.30451530508606595,11.8,5.7,1.156628075005216,2.408889500403606,-2.859302473400229
Butler,0.0,105.7,0.0,0.0,0.0,64.6,0.523,0.0,15.4,0.0,53.3,29.4,0.368,0.294,9.14,0,0,0,0,0,0,0.0,0.0,101.95911449297341,100.64063186609164,0.37477756075875635,7.4,4.1,2.168165067157362,2.740557239871524,-0.8811214540326167
Cal Poly,0.0,95.5,0.0,0.0,0.0,68.8,0.481,0.0,17.2,0.0,46.9,23.0,0.34,0.348,-0.42,0,0,0,0,0,0,0.0,0.0,91.6144935654167,97.12084853374337,0.4700717106168733,8.2,7.0,1.4436833575580348,1.5452943300166928,-0.03746827103508377
Cal State Bakersfield,0.0,101.1,0.0,0.0,0.0,66.0,0.478,0.0,16.9,0.0,54.7,36.1,0.272,0.312,-3.26,0,0,0,0,0,0,0.0,0.0,96.13832608964178,95.87656326408838,0.4302366105790384,10.5,7.5,3.151575077014104,1.6981202603948877,-0.42190550814033934
Cal State Fullerton,0.0,96.8,0.0,0.0,0.0,69.5,0.488,0.0,16.6,0.0,48.0,22.8,0.338,0.371,-1.38,0,0,0,0,0,0,0.0,0.0,92.58605553356604,100.35699979106431,0.4742958142226532,6.1,8.0,-3.4586626855603404,3.962923261509304,1.101406971546534
Cal State Northridge,0.0,106.6,0.0,0.0,0.0,71.4,0.519,0.0,14.1,0.0,47.3,25.7,0.339,0.313,-0.97,0,0,0,0,0,0,0.0,0.0,107.99772952391636,98.11264754749493,0.4228121133247116,10.8,6.4,0.27673824681233317,3.7843678073243767,2.9837978436376797
California,0.0,95.1,0.0,0.0,0.0,65.7,0.469,0.0,17.2,0.0,49.6,24.8,0.284,0.36,9.05,0,0,0,0,0,0,0.0,0.0,92.90491366272353,96.24867065257571,0.5221887712617684,7.3,6.2,1.1862022325458867,4.032432564389289,0.7424076578841843
California Baptist,0.0,111.5,0.0,0.0,0.0,70.5,0.524,0.0,15.4,0.0,54.8,32.4,0.431,0.345,-6.66,0,0,0,0,0,0,0.0,0.0,111.21407664206893,103.88211876958539,0.38056049931190317,9.8,8.0,5.946848700475864,3.72561066044472,0.9884828626274866
Campbell,0.0,101.9,0.0,0.0,0.0,67.2,0.532,0.0,17.3,0.0,47.6,22.2,0.415,0.258,-8.1,0,0,0,0,0,0,0.0,0.0,104.33481858397124,95.97429637516629,0.44532065524498493,5.4,8.8,1.3621540277070785,1.805568272397931,1.1305922268589865
Canisius,0.0,97.6,0.0,0.0,0.0,70.3,0.485,0.0,17.7,0.0,48.9,28.9,0.343,0.302,-5.44,0,0,0,0,0,0,0.0,0.0,100.4687088134537,97.64343384957948,0.4901054763240607,11.0,8.4,-2.8553005491879313,4.183157308691333,1.3083273676402498
Central Arkansas,0.0,96.1,0.0,0.0,0.0,75.9,0.485,0.0,20.0,0.0,50.3,28.4,0.404,0.402,-2.7,0,0,0,0,0,0,0.0,0.0,97.45013623073218,100.07162689100485,0.49184348997699046,9.5,9.0,-2.300187509881835,2.524018858292864,-1.2503002008050927
Central Connecticut State,0.0,89.3,0.0,0.0,0.0,70.7,0.454,0.0,17.9,0.0,44.8,23.3,0.316,0.291,-4.63,0,0,0,0,0,0,0.0,0.0,86.17835692039564,103.58126752643608,0.42870001540401476,5.1,6.8,-4.925513428357021,2.935514739426561,1.1045476486238754
Central Michigan,0.0,104.0,0.0,0.0,0.0,75.0,0.491,0.0,14.7,0.0,48.8,27.9,0.375,0.334,-0.26,0,0,0,0,0,0,0.0,0.0,107.29928324653449,103.88762237241728,0.4998851461435782,10.5,4.1,2.4259203832211855,1.5926067071550565,-2.8053261012436623
Charleston Southern,0.0,99.2,0.0,0.0,0.0,68.6,0.496,0.0,16.2,0.0,46.3,22.8,0.428,0.262,-6.98,0,0,0,0,0,0,0.0,0.0,102.05930916498289,99.325049888477,0.44977466657324194,9.8,8.3,-3.460406127578929,4.344600757088661,2.057313425925994
Charlotte,0.0,98.2,0.0,0.0,0.0,66.6,0.516,0.0,18.7,0.0,49.9,21.4,0.368,0.38,-1.09,0,0,0,0,0,0,0.0,0.0,99.7668718437852,100.09198836015874,0.530459803613361,10.6,8.4,1.9730728563646593,3.0796329788845838,-1.1319056159612466
Chattanooga,0.0,106.6,0.0,0.0,0.0,68.2,0.529,0.0,15.4,0.0,51.7,26.8,0.413,0.289,-1.9,0,0,0,0,0,0,0.0,0.0,108.52226218383795,98.20356272043422,0.5439316595850696,8.0,5.2,1.6076501091450948,3.9934440971394074,-1.9311954876690922
Chicago State,0.0,87.4,0.0,0.0,0.0,70.3,0.468,0.0,22.9,0.0,45.9,22.6,0.351,0.409,-2.85,0,0,0,0,0,0,0.0,0.0,87.22308386921492,102.86670624588454,0.40907120577553513,8.3,4.7,-7.549963597618742,3.5424456756561105,0.7322867998627827
Cincinnati,0.0,102.2,0.0,0.0,0.0,68.9,0.503,0.0,17.5,0.0,52.5,32.0,0.361,0.396,6.73,0,0,0,0,0,0,0.0,0.0,97.22501711837711,96.3677045911605,0.4639683514417004,10.1,7.4,6.34776162375297,1.748282556479205,1.2834832298663275
Clemson,0.0,98.7,0.0,0.0,0.0,66.6,0.501,0.0,16.5,0.0,49.3,23.3,0.464,0.289,7.88,0,0,0,0,0,0,0.0,0.0,94.65174978669687,102.80988728994338,0.3261876785653554,8.3,5.3,-0.05160631471776178,2.8022917918335,-2.615543826306691
Cleveland State,0.0,92.4,0.0,0.0,0.0,68.9,0.45,0.0,18.8,0.0,49.2,32.0,0.23,0.388,-2.45,0,0,0,0,0,0,0.0,0.0,87.95609586952682,102.81067802135009,0.5835542303759625,7.1,6.5,-4.9936633385945335,1.9861321884395147,0.028194034272582158
Coastal Carolina,0.0,105.4,0.0,0.0,0.0,74.0,0.51,0.0,18.3,0.0,54.1,35.9,0.354,0.345,-0.31,0,0,0,0,0,0,0.0,0.0,109.26959893256594,100.4717733565986,0.554240438484421,5.4,7.0,4.7541836657145256,4.19869053323072,-2.4400997974632403
Colgate,0.0,110.3,0.0,0.0,0.0,68.8,0.531,0.0,13.7,0.0,51.0,28.0,0.46,0.246,-5.63,0,0,0,0,0,0,0.0,0.0,108.6641108878484,99.47362053106129,0.4415090376235569,11.1,6.3,5.638914593528929,2.4361522896246632,2.8928888999557913
College of Charleston,0.0,105.0,0.0,0.0,0.0,66.9,0.509,0.0,14.4,0.0,47.4,22.9,0.398,0.328,-0.84,0,0,0,0,0,0,0.0,0.0,101.44528486155481,99.0796848445269,0.565069565886154,9.8,7.0,2.223398117433017,1.6142575541044364,1.6726501303465815
Colorado,0.0,103.2,0.0,0.0,0.0,68.2,0.505,0.0,16.8,0.0,53.9,30.2,0.386,0.362,8.31,0,0,0,0,0,0,0.0,0.0,99.24756096311684,96.8951934402853,0.4712530651686261,8.1,7.0,5.1564875463259705,1.95760338214225,0.11556678009317589
Colorado State,0.0,106.8,0.0,0.0,0.0,69.7,0.541,0.0,16.4,0.0,52.0,26.5,0.393,0.39,3.96,0,0,0,0,0,0,0.0,0.0,102.19984830983022,98.84177258767352,0.33760956915794954,9.8,8.1,4.1487794052879625,2.147620708517999,2.6289119149055074
Columbia,0.0,94.0,0.0,0.0,0.0,69.6,0.465,0.0,14.3,0.0,47.1,20.4,0.369,0.224,-2.5,0,0,0,0,0,0,0.0,0.0,94.23492382288698,104.8595262390598,0.3453650338233353,10.3,8.2,-2.3602171432789407,3.1416393049712976,-0.7869521567495719
Connecticut,0.0,102.3,0.0,0.0,0.0,69.0,0.478,0.0,16.8,0.0,51.9,34.1,0.358,0.346,5.34,0,0,0,0,0,0,0.0,0.0,97.99777293584137,103.18542185994453,0.43345677474549893,9.8,7.4,0.562376826585674,2.412167073951343,0.5296927863426482
Coppin State,0.0,90.7,0.0,0.0,0.0,74.4,0.459,0.0,17.1,0.0,47.4,23.4,0.47,0.327,-8.27,0,0,0,0,0,0,0.0,0.0,88.28202520074996,104.34091673770394,0.5069199409426756,10.8,9.6,-4.037906449622888,1.6412543002900228,-2.454137372468571
Cornell,0.0,100.3,0.0,0.0,0.0,66.2,0.504,0.0,15.4,0.0,47.8,24.8,0.393,0.269,-1.85,0,0,0,0,0,0,0.0,0.0,100.22837985079813,95.83440140988674,0.41685922133613185,10.6,4.7,-1.534576742398628,3.3445534126147436,1.4880174754827462
Creighton,0.0,111.5,0.0,0.0,0.0,70.0,0.553,0.0,13.9,0.0,48.5,23.6,0.426,0.29,9.61,0,0,0,0,0,0,0.0,0.0,107.01882261802419,97.64376709252053,0.42968030817586406,12.9,5.6,3.7959691221825276,3.3016468717258842,1.5686277569730944
Dartmouth,0.0,97.2,0.0,0.0,0.0,66.6,0.506,0.0,16.5,0.0,51.3,20.7,0.398,0.274,-3.2,0,0,0,0,0,0,0.0,0.0,96.79455148146937,104.68175497552843,0.5938171459214836,5.1,8.6,-3.1603764350850865,4.444291390592779,2.519386347413831
Davidson,0.0,108.5,0.0,0.0,0.0,65.4,0.534,0.0,14.7,0.0,50.4,24.7,0.445,0.315,3.62,0,0,0,0,0,0,0.0,0.0,106.43473925523192,101.14921332151768,0.4867502003913023,9.1,3.8,3.363404455144547,3.942877870443582,1.4220544641809825
Dayton,0.0,116.4,0.0,0.0,0.0,67.9,0.597,0.0,15.8,0.0,52.5,26.4,0.39,0.339,3.69,0,0,0,0,0,0,0.0,0.0,121.54596120274743,96.56997309331852,0.36095413441357216,12.5,4.4,8.885247432691749,4.0352521944675654,-0.2731299106194318
Delaware,0.0,107.9,0.0,0.0,0.0,68.6,0.549,0.0,16.7,0.0,50.4,24.5,0.385,0.316,-3.84,0,0,0,0,0,0,0.0,0.0,109.15684289220351,102.92070470921044,0.3642327505815312,10.5,4.0,5.519095172907006,4.232765598668308,-0.14641451705334263
Delaware State,0.0,95.6,0.0,0.0,0.0,76.3,0.473,0.0,17.4,0.0,47.3,26.4,0.395,0.33,-9.54,0,0,0,0,0,0,0.0,0.0,97.00081479653429,96.26389618435589,0.38169064365303634,7.7,4.8,-3.9679791881766064,3.3646889203901265,1.7941821631171055
Denver,0.0,95.4,0.0,0.0,0.0,71.6,0.491,0.0,17.4,0.0,48.3,20.8,0.291,0.362,-1.99,0,0,0,0,0,0,0.0,0.0,94.00266804164109,103.33847616656368,0.5896797947391023,7.7,7.6,-0.3764111711875291,3.083829808097555,1.5745762060273083
DePaul,0.0,97.8,0.0,0.0,0.0,71.7,0.484,0.0,17.5,0.0,50.3,30.9,0.304,0.333,8.95,0,0,0,0,0,0,0.0,0.0,95.55910825711065,104.78738802477736,0.437356029864506,6.0,6.6,-1.1964228783025803,2.7517884863402102,-1.3284752025696944
Detroit Mercy,0.0,99.0,0.0,0.0,0.0,70.6,0.462,0.0,16.5,0.0,49.5,30.8,0.441,0.321,-1.9,0,0,0,0,0,0,0.0,0.0,97.35433054322402,103.71983422898884,0.4879385152288193,7.7,8.3,-3.3105192674577175,2.2537574600305508,-1.7865794174224388
Drake,0.0,101.6,0.0,0.0,0.0,68.0,0.524,0.0,17.0,0.0,51.4,23.5,0.381,0.305,0.61,0,0,0,0,0,0,0.0,0.0,100.91716701019479,99.25138200948828,0.4333877023916634,6.2,6.6,1.5400397514986035,3.281847492610115,1.493673442115352
Drexel,0.0,100.3,0.0,0.0,0.0,67.9,0.506,0.0,18.6,0.0,51.8,30.4,0.371,0.285,-2.2,0,0,0,0,0,0,0.0,0.0,105.028251583112,97.97484501890717,0.5415284635097525,8.9,6.5,-1.8069599348693033,3.058481412871954,2.8952179091313477
Duke,0.0,111.4,0.0,0.0,0.0,72.9,0.526,0.0,15.2,0.0,53.8,34.8,0.315,0.356,8.0,0,0,0,0,0,0,0.0,0.0,106.31292487672489,99.66805254181841,0.548080280826382,8.3,5.1,3.861220899169293,4.0286302474633455,1.9787448420453335
Duquesne,0.0,104.2,0.0,0.0,0.0,67.8,0.512,0.0,16.0,0.0,49.8,29.2,0.431,0.328,1.67,0,0,0,0,0,0,0.0,0.0,99.40952915676186,104.64901663531221,0.5094006548817365,11.9,7.9,2.6328036629367864,2.1174256909372002,0.980964911085727
East Carolina,0.0,95.6,0.0,0.0,0.0,70.7,0.467,0.0,17.1,0.0,50.3,27.3,0.328,0.368,1.82,0,0,0,0,0,0,0.0,0.0,95.04012314332546,103.5541989044659,0.36171669465482464,11.3,6.2,-4.115150001618108,2.858659873166438,-2.7406950412475326
East Tennessee State,0.0,111.9,0.0,0.0,0.0,68.2,0.542,0.0,15.3,0.0,53.4,32.7,0.388,0.368,-1.82,0,0,0,0,0,0,0.0,0.0,115.9892109220009,95.2394055025501,0.39287559262372224,6.0,4.5,3.1751163727771496,2.2339520567054674,-0.7050219952604033
Eastern Illinois,0.0,104.0,0.0,0.0,0.0,70.9,0.513,0.0,15.3,0.0,50.4,29.2,0.324,0.298,-7.41,0,0,0,0,0,0,0.0,0.0,106.99520319828848,95.67383436666576,0.3675044527551819,6.6,8.6,1.492856134540546,2.5097671089692337,1.9190576215501671
Eastern Kentucky,0.0,98.0,0.0,0.0,0.0,76.2,0.476,0.0,16.1,0.0,45.2,25.7,0.401,0.319,-4.46,0,0,0,0,0,0,0.0,0.0,99.48430471310837,95.00126753785001,0.45842471205928254,8.6,7.2,0.7984796453818024,2.0256808612496413,-1.8898899631822594
Eastern Michigan,0.0,95.4,0.0,0.0,0.0,68.1,0.479,0.0,18.3,0.0,48.6,27.8,0.378,0.419,0.95,0,0,0,0,0,0,0.0,0.0,91.58818697992942,96.00940117872774,0.5413824002067108,6.1,5.6,-3.5097473928096425,1.7563279424796483,-2.1173710468381595
Eastern Washington,0.0,108.0,0.0,0.0,0.0,74.3,0.532,0.0,15.0,0.0,50.9,28.3,0.416,0.287,-1.81,0,0,0,0,0,0,0.0,0.0,111.01425301289022,102.01110901171005,0.3573467519221054,7.0,5.5,2.69565996764085,2.9814521683085653,-2.998400027172343
Elon,0.0,101.8,0.0,0.0,0.0,67.3,0.506,0.0,15.3,0.0,48.2,23.5,0.493,0.268,-2.03,0,0,0,0,0,0,0.0,0.0,99.57207543960797,102.74062207456925,0.45727845762857344,9.0,7.7,-1.1119730834695725,4.153737884572502,-0.5740239465276962
Evansville,0.0,96.7,0.0,0.0,0.0,67.9,0.49,0.0,16.6,0.0,46.6,20.3,0.424,0.322,0.61,0,0,0,0,0,0,0.0,0.0,92.32067881346545,103.78321371099624,0.4282370171718544,9.9,6.2,-1.5949055703926471,2.7361255273548344,0.36368597076042786
Fairfield,0.0,89.8,0.0,0.0,0.0,63.6,0.431,0.0,18.4,0.0,51.6,30.2,0.291,0.359,-4.81,0,0,0,0,0,0,0.0,0.0,91.29400682723663,97.42095884785854,0.5853774661714903,5.1,6.7,-5.469705685068595,1.6245297748044845,1.6187266785754857
FDU,0.0,103.4,0.0,0.0,0.0,69.3,0.516,0.0,16.4,0.0,48.3,26.8,0.357,0.295,-5.87,0,0,0,0,0,0,0.0,0.0,101.61938207197424,102.56566501789564,0.5125611042809652,7.5,6.3,3.518885919216414,3.147056626343673,1.2482132894791622
Florida,0.0,107.5,0.0,0.0,0.0,66.3,0.521,0.0,15.5,0.0,52.4,31.1,0.368,0.34,9.1,0,0,0,0,0,0,0.0,0.0,103.30674982827792,96.87484655859505,0.5207152690482625,5.5,6.6,4.43217695638191,4.332451376077596,1.20210780618075
Florida A&M,0.0,93.3,0.0,0.0,0.0,70.8,0.454,0.0,18.1,0.0,48.6,31.2,0.238,0.387,-6.24,0,0,0,0,0,0,0.0,0.0,93.98080752983029,100.72795521582256,0.560878245874409,8.0,9.3,-3.844195461669983,2.433483094780703,2.4042402844237776
Florida Atlantic,0.0,100.1,0.0,0.0,0.0,70.2,0.495,0.0,16.4,0.0,51.0,28.9,0.422,0.269,-1.25,0,0,0,0,0,0,0.0,0.0,104.25326181830343,101.63266987179841,0.45215163454505997,7.4,5.1,0.20685625360773224,4.05633029948924,0.5342226455014119
Florida Gulf Coast,0.0,91.5,0.0,0.0,0.0,66.8,0.476,0.0,20.0,0.0,49.2,28.0,0.416,0.231,-4.3,0,0,0,0,0,0,0.0,0.0,87.36942220630588,98.13427834977269,0.42819839758001343,7.6,6.5,-5.935311827025583,3.373293109422842,1.4615410899984553
Florida International,0.0,103.4,0.0,0.0,0.0,73.9,0.529,0.0,17.7,0.0,47.8,29.5,0.416,0.292,-1.0,0,0,0,0,0,0,0.0,0.0,101.52085185035497,99.34070875974999,0.42018559074626294,12.0,8.2,5.57361110003086,3.9673314092441863,0.3294861943341272
Florida State,0.0,107.3,0.0,0.0,0.0,69.7,0.519,0.0,16.3,0.0,51.9,33.4,0.354,0.301,7.64,0,0,0,0,0,0,0.0,0.0,107.78906144573473,97.60150307328908,0.5591117700178062,5.7,5.9,5.195003708983988,1.5517343386427809,0.7227834676220757
Fordham,0.0,88.8,0.0,0.0,0.0,65.2,0.45,0.0,16.9,0.0,47.0,21.3,0.417,0.27,-0.45,0,0,0,0,0,0,0.0,0.0,87.65594029384248,96.00545769477951,0.5687766914479165,7.2,9.3,-8.210300304995291,1.9187856793668212,-0.3566376630769106
Fresno State,0.0,103.7,0.0,0.0,0.0,65.3,0.502,0.0,16.4,0.0,52.0,30.5,0.49,0.305,3.39,0,0,0,0,0,0,0.0,0.0,108.20422708728339,99.58667339957147,0.48184824158426104,10.0,5.7,2.7598208745951553,4.309810473865415,-1.8407528981435386
Furman,0.0,110.0,0.0,0.0,0.0,69.3,0.556,0.0,14.7,0.0,47.8,23.6,0.463,0.302,-1.55,0,0,0,0,0,0,0.0,0.0,110.79029553012433,96.02102472565194,0.4641417863155033,8.1,4.5,2.2905524974260567,2.1599235222648767,-0.7958246143611403
