Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,3PAr,SOS,Momentum,Intuition,AdjOffSQ,AdjDefSQ,Rim3Rate,KillShotsScored,KillShotsConceded,BPR,PaceVar,RecentForm
Auburn,0.0,118.6,0.0,0.0,0.0,69.2,0.523,0.0,12.3,0.0,52.4,0.392,13.69,0.0,0.0,118.10948573726115,103.10637086291902,0.3475449929338031,13.7,6.7,10.437232423857624,2.5042766388152877,0.6212586529783097
Austin Peay,0.0,115.0,0.0,0.0,0.0,71.0,0.538,0.0,13.2,0.0,50.8,0.388,-6.68,0.0,0.0,112.96515903056797,103.57505107213656,0.5257295755057094,6.0,5.1,8.627714850144361,2.537804055438575,1.5926311205812564
Ball State,0.0,101.7,0.0,0.0,0.0,65.8,0.482,0.0,14.0,0.0,47.5,0.39,-4.26,0.0,0.0,101.82662082894393,97.65447393565144,0.5562539212006551,6.8,5.4,1.6193983773255072,2.6875150649244786,0.06725944827067076
Baylor,0.0,117.9,0.0,0.0,0.0,70.0,0.546,0.0,13.9,0.0,53.4,0.389,11.79,0.0,0.0,113.14494438157934,98.66604575372739,0.5895783830813411,8.2,5.1,8.62642193399815,3.953815599847027,-1.6200500252303143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.14972910139102,0.42846677512427694,0.0,0.0,0.0,3.2686862124792064,-1.5063349104149908
Bellarmine,0.0,119.6,0.0,0.0,0.0,66.4,0.599,0.0,13.9,0.0,46.5,0.406,-4.62,0.0,0.0,116.963731623395,98.17463021953682,0.5095166630290939,11.3,4.4,7.5562828808442095,2.2768080481832067,1.2853635346751946
Belmont,0.0,118.6,0.0,0.0,0.0,70.2,0.607,0.0,15.7,0.0,52.2,0.461,-0.39,0.0,0.0,113.32364034352177,99.52569706803021,0.5862067671983168,12.8,6.2,5.570920680889986,3.907612913081222,1.8980171439057345
Bethune-Cookman,0.0,104.7,0.0,0.0,0.0,71.2,0.516,0.0,16.8,0.0,50.1,0.298,-6.43,0.0,0.0,109.46488677915038,102.54318229990362,0.3853997188008137,12.4,7.4,-0.9201470388203608,4.163447254989017,0.23825629267787818
Binghamton,0.0,102.3,0.0,0.0,0.0,65.1,0.511,0.0,16.8,0.0,48.1,0.318,-10.76,0.0,0.0,100.45692727364573,97.68985682757243,0.5500012357100225,11.4,4.5,-2.5506153072857938,4.015175416080308,0.17002119227892765
Boise State,0.0,113.9,0.0,0.0,0.0,67.1,0.526,0.0,14.6,0.0,55.7,0.428,7.86,0.0,0.0,119.54024865152043,102.11271364752741,0.46978323780738407,8.1,6.8,3.7026593571198703,3.919846927798335,-0.3371743448433444
Boston College,0.0,100.0,0.0,0.0,0.0,66.4,0.47,0.0,13.3,0.0,49.4,0.424,6.67,0.0,0.0,96.71842297071474,100.6357627176979,0.33885409569023556,6.9,7.8,-0.2408277877499144,3.8406376220944303,-0.24250999714477595
Boston University,0.0,115.4,0.0,0.0,0.0,63.7,0.581,0.0,15.7,0.0,51.5,0.44,-8.22,0.0,0.0,114.48250632567022,95.68691122008288,0.3273378915125562,10.4,4.0,8.880759755739993,2.9896988704041982,-0.4154694691097123
Bowling Green,0.0,112.6,0.0,0.0,0.0,71.9,0.535,0.0,13.9,0.0,51.9,0.34,-3.56,0.0,0.0,116.50406784536936,102.23829940772681,0.5448485118175884,8.6,7.7,7.614348291596479,2.7609361629956504,-1.45109191316641
Bradley,0.0,110.5,0.0,0.0,0.0,68.4,0.511,0.0,12.1,0.0,48.8,0.406,0.56,0.0,0.0,112.74463095248436,100.53079376192895,0.33722221945637165,10.5,7.6,3.4732000355832877,2.0407746631596084,-0.644610052048274
Brigham Young,0.0,118.7,0.0,0.0,0.0,70.5,0.547,0.0,13.0,0.0,52.8,0.398,12.46,0.0,0.0,124.11163319428051,97.9816953806168,0.40048946084197085,12.8,5.1,8.574321511441239,4.224107668921225,1.3901717748717028
Brown,0.0,102.7,0.0,0.0,0.0,67.3,0.503,0.0,16.2,0.0,50.5,0.37,-4.65,0.0,0.0,100.9610635447585,99.09559721457715,0.5579973880614209,8.9,7.0,3.6111219766333544,1.7911428051115679,1.7429422976213993
Bryant,0.0,98.6,0.0,0.0,0.0,65.0,0.479,0.0,17.3,0.0,48.7,0.478,-7.9,0.0,0.0,94.02133788563854,97.85949244043483,0.5391722338014591,5.8,5.1,-2.3549190785107914,3.499567301677195,2.397631123864123
Bucknell,0.0,99.5,0.0,0.0,0.0,66.9,0.485,0.0,16.7,0.0,47.3,0.427,-5.43,0.0,0.0,104.17766913134675,99.50517334409548,0.3981396963791516,11.6,6.4,-1.4898052555401597,3.402670085114382,0.9426657796880826
Buffalo,0.0,114.9,0.0,0.0,0.0,67.4,0.56,0.0,14.2,0.0,48.7,0.454,-3.98,0.0,0.0,110.21323912390197,98.2679882058627,0.3338218435760544,6.3,7.4,7.032657296192086,3.6368082248005456,-2.5182972623572084
Butler,0.0,111.7,0.0,0.0,0.0,70.0,0.509,0.0,13.6,0.0,52.4,0.349,8.64,0.0,0.0,116.94101715673474,103.88686743725053,0.4611607523917727,6.6,7.7,3.8291585119288833,3.663041273437599,0.6960433171505158
Cal Poly,0.0,107.2,0.0,0.0,0.0,76.3,0.519,0.0,17.2,0.0,50.3,0.524,-0.19,0.0,0.0,105.0819440816767,102.94128587338211,0.3466689370625838,9.0,4.3,3.3373936853743205,3.553036350693815,2.531465500379452
Cal State Bakersfield,0.0,100.2,0.0,0.0,0.0,73.0,0.462,0.0,16.0,0.0,47.6,0.288,-1.25,0.0,0.0,96.57379344693517,97.30468026636889,0.33810734368835504,11.6,6.4,-1.3055427452501285,1.7887773299433942,-1.5731562701879611
Cal State Fullerton,0.0,108.8,0.0,0.0,0.0,76.3,0.525,0.0,13.4,0.0,48.0,0.43,0.14,0.0,0.0,103.92551011405689,101.14526125272671,0.41207905093663433,8.2,7.7,3.6176913982165826,4.2922079262616,1.3062610798954868
Cal State Northridge,0.0,107.3,0.0,0.0,0.0,75.6,0.509,0.0,14.7,0.0,53.4,0.338,-1.26,0.0,0.0,110.45358682823255,102.6117105838666,0.5874092322418162,8.6,4.0,4.301168197550096,1.655385742519089,-0.3659621954895076
California,0.0,111.3,0.0,0.0,0.0,69.4,0.52,0.0,13.0,0.0,48.7,0.425,7.62,0.0,0.0,113.2411386139354,96.89311461686418,0.3730192158908276,11.4,6.1,2.1212631880300568,3.5190287347533538,-2.9785536089366382
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.35709659628385,0.5639629699722278,0.0,0.0,0.0,2.488725833534716,1.1131165060301966
California Baptist,0.0,107.4,0.0,0.0,0.0,67.5,0.487,0.0,15.0,0.0,55.2,0.318,-2.92,0.0,0.0,111.09224533598352,98.67530616282517,0.45564375449787603,11.6,4.6,4.778422438369111,3.792162495294299,-1.7499627732554521
Campbell,0.0,111.8,0.0,0.0,0.0,70.8,0.515,0.0,14.8,0.0,51.9,0.368,-0.09,0.0,0.0,109.2393528442161,100.3354716576244,0.42650731916487933,8.7,6.5,7.8546730209057305,4.180974913300879,0.9743640446123341
Canisius,0.0,97.1,0.0,0.0,0.0,64.5,0.467,0.0,16.9,0.0,49.5,0.397,-7.83,0.0,0.0,96.35572006594803,104.71584150976886,0.3567987133193385,5.8,7.0,0.6972892105367006,2.981133321386361,1.8964672373399973
Central Arkansas,0.0,113.9,0.0,0.0,0.0,69.7,0.543,0.0,13.2,0.0,50.9,0.492,-4.64,0.0,0.0,109.42238178639528,95.81945901301026,0.4921213919080312,7.6,6.1,9.93733811452481,4.3655461083714355,-0.11076807861178839
Central Connecticut State,0.0,111.4,0.0,0.0,0.0,66.0,0.536,0.0,14.0,0.0,51.0,0.349,-9.93,0.0,0.0,111.3790847412168,101.12502536280456,0.5380032619250786,6.1,4.7,3.9356339341809354,3.3927475000397123,-0.5210580875944311
Central Michigan,0.0,105.9,0.0,0.0,0.0,69.3,0.523,0.0,16.0,0.0,48.1,0.339,-2.46,0.0,0.0,107.01823420651095,99.7781921742106,0.4978798244039963,6.7,6.6,3.2891489368703057,3.2777231891608247,-0.7139868035341159
Charleston Southern,0.0,110.1,0.0,0.0,0.0,74.1,0.55,0.0,15.9,0.0,51.6,0.515,-6.65,0.0,0.0,113.19643629324145,95.41399572543764,0.48518000236392433,5.8,8.1,4.420989928736059,4.238548963162184,0.9343204948929817
Charlotte,0.0,111.6,0.0,0.0,0.0,64.5,0.535,0.0,15.6,0.0,51.5,0.453,1.09,0.0,0.0,106.98586795344217,95.1579457286428,0.36086976078298316,6.4,7.5,5.582220142468612,2.9811173415361747,0.138967839994095
Chattanooga,0.0,112.7,0.0,0.0,0.0,68.1,0.551,0.0,12.7,0.0,48.2,0.506,-6.95,0.0,0.0,113.87483759453723,104.70757905357088,0.5843648414140369,8.3,5.0,5.5092487452616945,3.4474562390106387,-1.3966555341485445
Chicago State,0.0,99.4,0.0,0.0,0.0,65.9,0.455,0.0,13.6,0.0,46.2,0.313,-4.91,0.0,0.0,100.764100412786,99.76065122494757,0.5254526609074637,5.9,4.1,2.9745099297950457,1.5933818743163455,-2.2708352165148686
Cincinnati,0.0,105.3,0.0,0.0,0.0,69.2,0.505,0.0,14.6,0.0,51.6,0.438,9.97,0.0,0.0,107.7985374915875,104.98583671754137,0.40935254072526295,11.3,4.4,2.1895391550569263,3.5434776587884342,2.2518853006560295
Clemson,0.0,112.4,0.0,0.0,0.0,65.5,0.526,0.0,12.5,0.0,51.4,0.429,9.59,0.0,0.0,113.86061906473356,99.2374081740615,0.3391305565595439,12.8,5.6,8.936699550072051,2.23592535789487,1.6563286401713533
Cleveland State,0.0,111.6,0.0,0.0,0.0,71.5,0.547,0.0,15.8,0.0,47.4,0.496,-3.02,0.0,0.0,112.8435477705286,102.04454270273891,0.38789891052358083,11.0,5.1,5.705665403137567,4.45050795420008,-2.925785824580229
Coastal Carolina,0.0,104.0,0.0,0.0,0.0,68.9,0.486,0.0,13.3,0.0,51.1,0.433,-5.77,0.0,0.0,99.38034697753832,100.54912636065421,0.48658205055915754,6.0,6.1,3.554853601187182,1.5586420556157856,-2.441577223623758
Colgate,0.0,111.7,0.0,0.0,0.0,66.9,0.542,0.0,13.2,0.0,50.0,0.35,-5.37,0.0,0.0,106.27208281858094,99.05907198055226,0.3949269623793436,9.8,6.3,5.655201631690706,3.876038889455609,-1.3940249222617747
College of Charleston,0.0,109.2,0.0,0.0,0.0,68.5,0.501,0.0,13.4,0.0,50.0,0.378,-2.57,0.0,0.0,112.88139587341232,98.97472608189977,0.5055276765017471,6.6,4.0,6.909271662042926,1.8744664120662322,-1.5005394652093085
Colorado,0.0,113.2,0.0,0.0,0.0,70.1,0.532,0.0,12.7,0.0,49.7,0.351,10.37,0.0,0.0,117.08460139775518,98.7074837639139,0.4715731922676024,6.1,5.9,6.249580460687689,4.416760584716991,-0.7056594098448818
Colorado State,0.0,117.8,0.0,0.0,0.0,64.6,0.585,0.0,16.2,0.0,52.1,0.489,5.04,0.0,0.0,115.3565544160918,101.92652649351659,0.4803605044667836,7.9,5.9,6.479460338174375,3.077589921211503,1.677056350465822
Columbia,0.0,112.4,0.0,0.0,0.0,67.6,0.541,0.0,16.1,0.0,56.2,0.372,-3.93,0.0,0.0,116.39424042751935,104.19064668105433,0.467466825975428,10.9,3.8,3.8482348322731252,3.410917200779535,2.8568607107799764
Connecticut,0.0,116.5,0.0,0.0,0.0,66.0,0.553,0.0,14.3,0.0,54.2,0.403,10.55,0.0,0.0,116.13789553125295,102.63041840005238,0.4748509417121373,13.9,4.7,7.428857793958783,1.930956437053362,-2.8133849311411314
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.39074309402955,0.3610758342824924,0.0,0.0,0.0,2.8110933881016784,-2.9112746314647113
Coppin State,0.0,94.0,0.0,0.0,0.0,69.4,0.463,0.0,19.0,0.0,47.7,0.352,-8.11,0.0,0.0,89.4152769166525,98.97934142004591,0.4977411737388883,4.9,4.7,-2.6475344382938055,2.0046271225352097,0.5639268244955307
Cornell,0.0,121.5,0.0,0.0,0.0,72.1,0.599,0.0,14.1,0.0,51.2,0.526,-2.8,0.0,0.0,117.82029046156349,98.00477676045054,0.3148165982862351,11.6,6.2,12.529107221794453,2.2551205420572784,-1.656589868911009
Creighton,0.0,109.2,0.0,0.0,0.0,68.5,0.531,0.0,14.5,0.0,49.6,0.482,10.48,0.0,0.0,106.11508550635641,102.81770113460664,0.5224935523401945,8.2,6.5,4.562051743506089,3.6467264892755917,-1.7836764457373144
Dartmouth,0.0,108.2,0.0,0.0,0.0,69.7,0.529,0.0,15.4,0.0,49.7,0.491,-2.91,0.0,0.0,113.51634793728628,101.628617860565,0.5277595031805159,10.1,8.2,5.374239783099412,1.7269104827460424,-2.983198664480303
Davidson,0.0,109.9,0.0,0.0,0.0,64.5,0.535,0.0,13.8,0.0,49.7,0.442,2.77,0.0,0.0,114.78820754667326,96.42062539524395,0.4772612831023295,6.1,6.3,6.726473687374703,2.548734478460327,0.6021105795347013
Dayton,0.0,108.3,0.0,0.0,0.0,68.2,0.518,0.0,15.4,0.0,49.1,0.415,4.11,0.0,0.0,109.46437794202652,100.4101791091664,0.4718221875515812,6.5,8.1,3.475578119685395,1.5286837847916512,-2.248175016411938
Delaware,0.0,103.3,0.0,0.0,0.0,64.2,0.528,0.0,16.8,0.0,46.9,0.46,-2.43,0.0,0.0,108.40412072966359,104.07688150057123,0.4450334010138669,11.1,5.9,2.9657084767133304,3.3420553066564556,-2.10288023459235
Delaware State,0.0,91.2,0.0,0.0,0.0,66.5,0.44,0.0,17.1,0.0,47.6,0.285,-10.8,0.0,0.0,94.6620743993579,98.42867411912191,0.511290992632614,9.3,4.9,-1.1833780259277291,1.565800370608959,-2.8545414314917235
Denver,0.0,119.2,0.0,0.0,0.0,69.5,0.553,0.0,12.3,0.0,49.8,0.386,-2.02,0.0,0.0,124.01468860889385,98.21470305769937,0.48867458261310165,9.2,4.2,11.272676675455445,3.665399096790913,2.2779042852993774
DePaul,0.0,103.7,0.0,0.0,0.0,67.7,0.498,0.0,15.4,0.0,49.2,0.39,6.78,0.0,0.0,105.18921960909174,95.53057504367113,0.4564470128719325,8.9,7.4,-0.1358041818275122,1.7655257664781465,0.0839162031201457
Detroit Mercy,0.0,110.2,0.0,0.0,0.0,70.0,0.498,0.0,13.7,0.0,52.1,0.308,-3.17,0.0,0.0,107.84881008575739,95.68714671220921,0.322647457862497,7.4,6.4,3.0236015510384493,2.1297287484976715,-2.079630307028671
Drake,0.0,109.5,0.0,0.0,0.0,68.1,0.521,0.0,13.1,0.0,49.3,0.457,1.46,0.0,0.0,104.63574048719762,101.32530474469768,0.3905906761425849,5.8,4.6,7.398972827880424,3.383885829541988,0.15330930474452664
Drexel,0.0,103.6,0.0,0.0,0.0,65.7,0.508,0.0,16.4,0.0,50.9,0.401,-4.48,0.0,0.0,100.40627345351963,97.09521608132384,0.38365542275678244,10.4,8.4,6.625947762161132,3.239354380534453,0.014411404884891565
Duke,0.0,122.6,0.0,0.0,0.0,67.1,0.568,0.0,13.3,0.0,57.8,0.444,12.43,0.0,0.0,123.93541707084512,99.64448810070485,0.5097712457632745,13.6,5.0,8.039807725689545,4.479544316082272,0.9633646656989128
Duquesne,0.0,110.6,0.0,0.0,0.0,69.7,0.532,0.0,15.3,0.0,50.9,0.438,2.36,0.0,0.0,113.0452285281403,97.81522109218176,0.4522562778355095,9.5,5.1,5.055433251656355,2.7148402233715707,1.7191163963904912
East Carolina,0.0,102.0,0.0,0.0,0.0,69.3,0.464,0.0,14.8,0.0,50.4,0.313,0.46,0.0,0.0,101.9168731588625,99.0833019038109,0.37225635995745926,5.2,8.2,1.2182558398280339,3.1527015129915297,2.966440893534868
East Tennessee State,0.0,115.1,0.0,0.0,0.0,66.9,0.553,0.0,13.3,0.0,51.2,0.379,-7.31,0.0,0.0,112.90717150389962,103.52391326077834,0.300815378461535,9.9,6.5,10.012857782485312,3.1740703549683706,-0.4009895982733098
East Texas A&M,0.0,101.2,0.0,0.0,0.0,69.3,0.508,0.0,16.5,0.0,47.2,0.464,-2.03,0.0,0.0,98.63866936784483,103.50306890456133,0.4879583490653434,6.8,8.6,3.3664569985180037,3.834371283420028,0.7034973280470735
Eastern Illinois,0.0,99.6,0.0,0.0,0.0,66.6,0.476,0.0,16.1,0.0,48.1,0.301,-5.83,0.0,0.0,95.23469329785868,98.15958789757707,0.49150241078807416,11.1,7.8,-1.9866566683195679,1.587584234253712,-2.453287071299429
Eastern Kentucky,0.0,113.3,0.0,0.0,0.0,69.8,0.527,0.0,14.0,0.0,50.3,0.507,-4.54,0.0,0.0,110.50679911712527,104.30050330716728,0.3838763112597278,5.8,4.6,8.778667447331877,4.038268353136705,1.5604462344743184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.79978927725814,0.33995166636242186,0.0,0.0,0.0,2.322041043977612,-0.8823880603088856
Eastern Michigan,0.0,102.4,0.0,0.0,0.0,68.4,0.497,0.0,15.2,0.0,50.0,0.319,-1.49,0.0,0.0,104.79071437792314,104.07085536112626,0.3083624100620274,10.0,7.4,-0.43288085125365106,3.014356224147895,-1.6577997499034585
Eastern Washington,0.0,112.2,0.0,0.0,0.0,69.1,0.539,0.0,15.3,0.0,50.3,0.348,-0.47,0.0,0.0,113.53844384108913,103.53775269134897,0.32823705257537,11.9,7.4,4.46295813364555,3.0164486972612474,-0.06378133892676696
Elon,0.0,113.0,0.0,0.0,0.0,68.1,0.525,0.0,13.4,0.0,50.1,0.431,-3.0,0.0,0.0,112.47715619015045,101.11456241388251,0.4693715451258216,9.5,4.5,6.448783025686825,1.7959759344420991,-0.2805941926182023
Evansville,0.0,98.5,0.0,0.0,0.0,67.5,0.499,0.0,17.0,0.0,46.7,0.433,3.69,0.0,0.0,97.80109084324371,99.60974509157214,0.47280229000206647,7.4,7.7,-1.175538674998496,3.770516769154556,0.45437221014562756
Fairfield,0.0,109.6,0.0,0.0,0.0,67.6,0.491,0.0,12.5,0.0,52.7,0.359,-9.05,0.0,0.0,108.34633524181449,100.86818622669395,0.4905061155324112,6.4,6.4,2.6440440845310444,2.0588609849760777,0.011073878486627109
FDU,0.0,103.8,0.0,0.0,0.0,64.5,0.483,0.0,15.4,0.0,52.5,0.455,-7.42,0.0,0.0,104.69057086607862,99.75008670636731,0.35853351555792723,11.4,7.1,1.281756877595646,4.313085816678808,-2.338265822554416
Florida,0.0,119.8,0.0,0.0,0.0,72.5,0.535,0.0,13.5,0.0,59.5,0.371,13.14,0.0,0.0,118.76357002678381,103.75949667265445,0.5003890475760957,7.7,6.3,9.327934099298824,3.3350236964324216,2.7025775615655476
Florida A&M,0.0,99.7,0.0,0.0,0.0,70.3,0.497,0.0,18.6,0.0,49.9,0.376,-8.95,0.0,0.0,103.6139574806267,96.99025113602487,0.3459853734130878,7.0,8.5,-0.7273802752542967,4.214572890121689,-2.041508127805583
Florida Atlantic,0.0,110.5,0.0,0.0,0.0,70.4,0.525,0.0,14.8,0.0,52.8,0.386,1.95,0.0,0.0,110.17483993097517,100.1089831323616,0.30801647209090005,11.2,6.3,7.174977602183388,4.4371160474065725,-2.6072145098885278
Florida Gulf Coast,0.0,110.5,0.0,0.0,0.0,69.3,0.518,0.0,13.4,0.0,52.0,0.393,-5.01,0.0,0.0,107.05120665938631,104.97536171851365,0.40888708881304087,5.5,4.5,5.478849629557717,2.7267231849881273,0.5686349999568507
Florida International,0.0,109.5,0.0,0.0,0.0,72.8,0.515,0.0,15.0,0.0,50.9,0.334,-0.46,0.0,0.0,110.99168285562736,99.27673618998432,0.46877358441951705,12.9,3.8,5.628976540130639,1.5829579291264078,-1.7372845511704356
Florida State,0.0,111.9,0.0,0.0,0.0,71.8,0.523,0.0,13.1,0.0,48.0,0.506,9.26,0.0,0.0,116.4546457431846,104.33624484284935,0.35802904985673534,7.2,3.7,1.8728458534862629,2.3360625641443833,-0.0747831139906836
Fordham,0.0,105.9,0.0,0.0,0.0,65.7,0.496,0.0,14.6,0.0,54.5,0.384,-0.95,0.0,0.0,110.70499493660445,97.81565384580027,0.34421535662327374,8.4,7.6,0.4615989819980979,4.015768273053908,-1.9307606958579842
Fresno State,0.0,104.9,0.0,0.0,0.0,69.4,0.51,0.0,16.0,0.0,49.5,0.407,4.66,0.0,0.0,106.79913589790446,100.75442021871415,0.3507767617451269,5.5,5.9,1.4584373582670724,2.097174135695098,-0.5226612456715061
Furman,0.0,113.4,0.0,0.0,0.0,66.7,0.553,0.0,15.2,0.0,54.2,0.47,-6.12,0.0,0.0,111.83323293006481,102.77724475771063,0.4815103915276426,12.7,4.8,4.994227781625538,3.8388425900475545,2.940073326513515
Gardner-Webb,0.0,96.0,0.0,0.0,0.0,71.0,0.487,0.0,17.1,0.0,43.8,0.387,-1.85,0.0,0.0,91.7411349599039,99.12347702402855,0.5899560007146525,10.8,8.7,-2.553397332712494,2.6261581534754486,-0.42149959074954335
George Mason,0.0,113.0,0.0,0.0,0.0,64.9,0.535,0.0,14.2,0.0,52.9,0.351,1.19,0.0,0.0,108.46824389901965,98.41437952192493,0.33011761407943274,11.9,3.9,6.5369041512134265,1.6142737551670758,1.0770480814467993
George Washington,0.0,116.2,0.0,0.0,0.0,70.3,0.549,0.0,15.2,0.0,54.2,0.466,2.25,0.0,0.0,116.77811593482316,100.35558421249522,0.3803021958478413,13.4,3.7,7.097097055970454,4.405926546362154,2.6088257774691983
Georgetown,0.0,108.7,0.0,0.0,0.0,67.0,0.496,0.0,13.5,0.0,50.8,0.352,8.52,0.0,0.0,105.85486703489569,96.99656140998067,0.3560563805974915,8.6,6.6,4.331986881853789,4.476414761178522,-0.1930513084120511
Georgia,0.0,120.5,0.0,0.0,0.0,73.4,0.546,0.0,12.2,0.0,50.5,0.439,8.93,0.0,0.0,120.64761634087628,102.54937567083344,0.3099147628634606,7.1,4.3,10.008974200276745,3.1159767034766928,-0.8666173460634754
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.77855994693736,0.3363400727794511,0.0,0.0,0.0,2.901870785147106,-2.9046983132419797
Georgia Southern,0.0,112.3,0.0,0.0,0.0,71.3,0.52,0.0,12.6,0.0,46.8,0.488,-6.01,0.0,0.0,114.12460634963179,103.57541607458043,0.4171436135406382,5.8,5.3,5.4940616263274595,1.5170660261258186,-0.7565406100556062
Georgia State,0.0,101.3,0.0,0.0,0.0,69.3,0.452,0.0,13.6,0.0,47.5,0.432,-4.57,0.0,0.0,99.07250372219515,103.52082006900704,0.3401676447359454,9.1,6.1,-0.08751535006094346,2.6730201923092687,-0.5137226097192176
Georgia Tech,0.0,102.6,0.0,0.0,0.0,71.6,0.5,0.0,16.2,0.0,50.3,0.332,6.76,0.0,0.0,97.90313080892484,98.83105412851182,0.30666642595469656,7.4,5.5,2.483392338833151,3.0672931357652784,1.354197622586843
Gonzaga,0.0,120.5,0.0,0.0,0.0,70.4,0.563,0.0,11.7,0.0,55.4,0.31,6.02,0.0,0.0,121.20919966036303,98.7781478528385,0.4778523626840775,11.6,7.4,11.460571401334017,2.414663746581624,-1.562598853338885
